quarter,airline_id,origin_airport,destination_airport,distance,num_people,revenue
1,--,AUS,ACT,101,4,40
1,--,DFW,ACT,89,6,50
1,--,SAT,ACT,161,2,30
1,--,LBB,ACT,303,2,70
1,--,SMF,ACV,207,2,30
1,--,SJC,ACV,275,1,15
1,--,SEA,ACV,456,1,55
1,--,SFO,ACV,250,2,170
1,--,SNA,ACV,609,1,425
1,--,SIT,ADQ,640,1,255
1,--,OAK,ADQ,1946,1,405
1,--,VDZ,ADQ,321,1,5
1,--,SHV,AEX,108,10,120
1,--,HOU,AEX,200,1,15
1,--,LCH,AEX,92,2,10
1,--,BTR,AEX,99,5,55
1,--,MLU,AEX,87,4,400
1,--,BHM,AEX,372,2,140
1,--,PDX,AEX,1887,1,305
1,--,TXK,AEX,169,1,65
1,--,LFT,AEX,84,2,30
1,--,MSY,AEX,164,4,460
1,--,JAN,AEX,160,2,190
1,--,IAH,AEX,190,2,60
1,--,MOB,AEX,259,1,15
1,--,CHS,AGS,116,3,45
1,--,GSP,AGS,106,1,35
1,--,AVL,AGS,146,1,15
1,--,MYR,AGS,177,1,45
1,--,CLT,AGS,140,8,140
1,--,ATL,AGS,143,22,750
1,--,CAE,AGS,63,5,25
1,--,RIC,AGS,387,1,65
1,--,MGM,AGS,268,1,45
1,--,SAV,AGS,96,5,55
1,--,FAY,AGS,209,1,15
1,--,PHL,AGS,583,1,115
1,--,RDU,AGS,250,1,25
1,--,CVG,AGS,420,1,45
1,--,BNA,AGS,329,1,15
1,--,MCO,AGS,343,1,185
1,--,ABQ,AGS,1412,1,385
1,--,JAX,AGS,199,1,55
1,--,TYS,AGS,204,1,5
1,--,BDL,ALB,80,5,105
1,--,PVD,ALB,141,2,10
1,--,MHT,ALB,121,5,35
1,--,LGA,ALB,136,32,740
1,--,SYR,ALB,120,7,295
1,--,PWM,ALB,187,2,70
1,--,BTV,ALB,123,4,100
1,--,BOS,ALB,145,17,365
1,--,DTW,ALB,489,3,185
1,--,BUF,ALB,251,14,880
1,--,ISP,ALB,140,1,25
1,--,CLT,ALB,646,1,75
1,--,ROC,ALB,198,9,305
1,--,EWR,ALB,143,18,480
1,--,JFK,ALB,146,7,145
1,--,RDU,ALB,544,1,165
1,--,CLE,ALB,424,3,255
1,--,MDT,ALB,234,2,110
1,--,PHL,ALB,212,4,200
1,--,ORF,ALB,424,1,115
1,--,BWI,ALB,289,4,430
1,--,PHF,ALB,413,1,55
1,--,HPN,ALB,116,4,50
1,--,PBI,ALB,1163,1,195
1,--,MBS,ALB,522,1,325
1,--,ART,ALB,141,1,25
1,--,IND,ALB,683,1,115
1,--,ORD,ALB,723,1,115
1,--,DCA,ALB,318,2,120
1,--,DAY,ALB,576,1,45
1,--,SWF,ALB,87,2,50
1,--,CVG,ALB,623,1,75
1,--,OMA,ALO,200,1,55
1,--,LAS,ALO,1294,1,785
1,--,ORD,ALO,234,1,15
1,--,MLI,ALO,124,1,15
1,--,CID,ALO,58,3,45
1,--,GEG,ALW,111,4,100
1,--,PSC,ALW,42,4,30
1,--,PDX,ALW,211,3,65
1,--,YKM,ALW,113,1,15
1,--,SEA,ALW,213,1,35
1,--,PSP,AMA,849,1,205
1,--,LBB,AMA,107,27,635
1,--,CRP,AMA,570,1,65
1,--,ABQ,AMA,278,4,150
1,--,MAF,AMA,228,9,535
1,--,DFW,AMA,312,4,190
1,--,ICT,AMA,291,1,75
1,--,OKC,AMA,232,2,100
1,--,ABI,AMA,226,5,335
1,--,ATL,AMA,992,1,415
1,--,SHV,AMA,492,1,65
1,--,ELP,AMA,358,2,190
1,--,TUL,AMA,334,1,5
1,--,SEA,ANC,1448,15,5325
1,--,FAI,ANC,261,83,4875
1,--,PDX,ANC,1542,3,605
1,--,SFO,ANC,2018,1,815
1,--,JNU,ANC,571,3,255
1,--,DCA,ANC,3375,1,385
1,--,LAS,ANC,2304,1,125
1,--,BET,ANC,399,1,75
1,--,ADQ,ANC,253,1,75
1,--,BOI,ANC,1842,4,4260
1,--,OTZ,ANC,548,1,85
1,--,CLT,ANC,3445,1,335
1,--,PHX,ANC,2552,1,455
1,--,CDV,ANC,160,1,55
1,--,LAX,ANC,2345,1,945
1,--,SYR,ART,61,3,65
1,--,BUF,ART,154,1,25
1,--,DEN,ASE,125,72,2490
1,--,GJT,ASE,89,13,245
1,--,HDN,ASE,89,2,50
1,--,EGE,ASE,29,8,70
1,--,LAX,ASE,737,2,310
1,--,FLL,ASE,1792,1,265
1,--,DFW,ASE,701,2,790
1,--,MTJ,ASE,74,2,20
1,--,TEX,ASE,104,1,25
1,--,SLC,ASE,292,2,30
1,--,ORD,ASE,1013,3,695
1,--,SEA,ASE,961,1,305
1,--,JAX,ASE,1546,1,295
1,--,TPA,ASE,1596,1,165
1,--,JAC,ASE,363,1,155
1,--,SFO,ASE,848,1,105
1,--,SAN,ASE,730,1,675
1,--,PHX,ASE,491,1,225
1,--,RDU,ATL,356,59,5455
1,--,SLC,ATL,1590,17,7395
1,--,DTW,ATL,594,71,9385
1,--,BNA,ATL,214,78,3460
1,--,CVG,ATL,373,9,495
1,--,TUL,ATL,674,1,65
1,--,FLL,ATL,581,18,2490
1,--,JFK,ATL,760,25,4305
1,--,LGA,ATL,762,21,3995
1,--,MSP,ATL,907,38,7170
1,--,GSP,ATL,153,36,1010
1,--,BHM,ATL,134,69,1735
1,--,VPS,ATL,250,2,50
1,--,CAE,ATL,192,20,710
1,--,CHS,ATL,259,37,1985
1,--,MLI,ATL,633,1,85
1,--,TYS,ATL,152,19,535
1,--,CHA,ATL,106,20,370
1,--,MCO,ATL,404,56,5590
1,--,JAX,ATL,270,38,1990
1,--,HSV,ATL,151,9,165
1,--,MEM,ATL,332,20,1410
1,--,SAV,ATL,214,43,1315
1,--,BWI,ATL,577,5,365
1,--,PHL,ATL,666,9,1195
1,--,GSO,ATL,306,10,1040
1,--,BOS,ATL,946,11,3155
1,--,JAN,ATL,341,5,355
1,--,PNS,ATL,271,8,520
1,--,ORD,ATL,606,7,865
1,--,AGS,ATL,143,14,550
1,--,MOB,ATL,302,7,305
1,--,BTR,ATL,448,2,190
1,--,EWR,ATL,746,13,1795
1,--,AVL,ATL,164,5,205
1,--,HHH,ATL,238,2,80
1,--,MGM,ATL,147,12,230
1,--,PBI,ATL,545,4,370
1,--,VLD,ATL,208,4,150
1,--,ELP,ATL,1282,1,95
1,--,SDF,ATL,321,6,230
1,--,CLT,ATL,226,89,4445
1,--,CSG,ATL,83,8,90
1,--,IAD,ATL,534,14,1390
1,--,DEN,ATL,1199,4,1020
1,--,DFW,ATL,731,21,3695
1,--,SAN,ATL,1892,1,245
1,--,MIA,ATL,594,17,4005
1,--,DCA,ATL,547,14,1070
1,--,SJU,ATL,1547,1,675
1,--,SFO,ATL,2139,2,850
1,--,IND,ATL,432,5,305
1,--,RIC,ATL,481,3,325
1,--,TPA,ATL,406,27,2275
1,--,LAS,ATL,1747,5,935
1,--,PHX,ATL,1587,3,1855
1,--,MSY,ATL,425,20,2040
1,--,DAL,ATL,721,8,330
1,--,STL,ATL,484,5,755
1,--,RSW,ATL,515,6,560
1,--,MCI,ATL,692,7,1005
1,--,SBN,ATL,566,1,45
1,--,GNV,ATL,300,5,245
1,--,TLH,ATL,223,8,370
1,--,DAY,ATL,432,2,150
1,--,TRI,ATL,227,2,60
1,--,IAH,ATL,689,9,1405
1,--,ABY,ATL,145,6,190
1,--,CMH,ATL,447,5,305
1,--,BQK,ATL,238,1,115
1,--,PIT,ATL,526,5,325
1,--,MDW,ATL,591,3,275
1,--,GTR,ATL,241,2,110
1,--,DHN,ATL,170,1,15
1,--,SRQ,ATL,444,2,80
1,--,OMA,ATL,821,2,780
1,--,MKE,ATL,669,3,205
1,--,AUS,ATL,813,6,860
1,--,ORF,ATL,516,5,525
1,--,LAX,ATL,1947,9,4085
1,--,ONT,ATL,1900,2,350
1,--,BUR,ATL,1941,1,125
1,--,HOU,ATL,696,3,1415
1,--,MLB,ATL,442,4,260
1,--,OKC,ATL,761,1,495
1,--,GRB,ATL,774,1,495
1,--,SAT,ATL,874,2,1360
1,--,FAR,ATL,1123,1,385
1,--,DAB,ATL,366,2,60
1,--,LIT,ATL,453,1,155
1,--,BUF,ATL,712,1,585
1,--,FAY,ATL,331,1,35
1,--,MYR,ATL,317,1,35
1,--,MDT,ATL,620,1,215
1,--,LEX,ATL,304,2,300
1,--,ILM,ATL,377,1,175
1,--,CHO,ATL,457,1,225
1,--,ECP,ATL,240,1,35
1,--,PIA,ATL,565,1,35
1,--,EVV,ATL,350,1,25
1,--,ABQ,ATL,1269,1,645
1,--,SEA,ATL,2182,1,975
1,--,MKE,ATW,96,18,410
1,--,DLH,ATW,252,1,65
1,--,ORD,ATW,160,4,90
1,--,MSN,ATW,87,4,120
1,--,MSP,ATW,236,3,315
1,--,GRB,ATW,25,4,40
1,--,CWA,ATW,67,2,10
1,--,DAL,AUS,189,71,2415
1,--,HOU,AUS,148,51,1185
1,--,DFW,AUS,190,236,9580
1,--,ABQ,AUS,619,4,510
1,--,CRP,AUS,167,10,220
1,--,IAH,AUS,140,191,4765
1,--,EWR,AUS,1504,1,195
1,--,MSY,AUS,444,11,815
1,--,ELP,AUS,528,6,530
1,--,JFK,AUS,1521,1,335
1,--,ONT,AUS,1196,1,265
1,--,SAT,AUS,66,153,1945
1,--,BTR,AUS,390,1,95
1,--,PSP,AUS,1132,2,360
1,--,OKC,AUS,358,6,400
1,--,LAS,AUS,1090,6,1960
1,--,RDU,AUS,1162,3,585
1,--,MSP,AUS,1042,4,1580
1,--,LAX,AUS,1242,8,1600
1,--,ORD,AUS,977,5,1345
1,--,CVG,AUS,958,1,305
1,--,SFO,AUS,1504,6,1910
1,--,SJT,AUS,186,1,165
1,--,CLE,AUS,1174,1,235
1,--,MAF,AUS,294,3,75
1,--,SAN,AUS,1164,4,770
1,--,PHX,AUS,872,6,1010
1,--,GRK,AUS,61,5,45
1,--,ROW,AUS,457,1,235
1,--,CLL,AUS,83,2,50
1,--,TUL,AUS,426,2,340
1,--,IAD,AUS,1297,3,1185
1,--,MDT,AUS,1364,1,95
1,--,ATL,AUS,813,4,2120
1,--,BNA,AUS,756,4,630
1,--,BOS,AUS,1698,4,1410
1,--,SLC,AUS,1086,2,190
1,--,DCA,AUS,1315,5,1465
1,--,MIA,AUS,1103,1,135
1,--,XNA,AUS,462,1,215
1,--,DEN,AUS,775,4,790
1,--,SEA,AUS,1770,1,195
1,--,ACT,AUS,101,4,150
1,--,BHM,AUS,682,1,475
1,--,FAT,AUS,1348,1,85
1,--,MCO,AUS,994,3,2185
1,--,SNA,AUS,1209,1,205
1,--,HRL,AUS,273,3,85
1,--,ABE,AUS,1441,1,105
1,--,MFE,AUS,279,2,110
1,--,MCI,AUS,650,3,255
1,--,ABI,AUS,194,2,100
1,--,RSW,AUS,1001,1,555
1,--,MEM,AUS,559,3,555
1,--,LIT,AUS,446,2,110
1,--,LBB,AUS,341,1,85
1,--,LGA,AUS,1520,1,355
1,--,BOI,AUS,1375,2,190
1,--,CMH,AUS,1073,1,165
1,--,DTW,AUS,1149,1,55
1,--,PDX,AUS,1715,1,265
1,--,TYR,AUS,200,1,5
1,--,BDL,AUS,1607,1,125
1,--,BWI,AUS,1342,1,155
1,--,RNO,AUS,1405,1,155
1,--,BRO,AUS,296,1,25
1,--,STL,AUS,721,2,980
1,--,FLL,AUS,1105,2,170
1,--,SDF,AUS,876,1,165
1,--,SJC,AUS,1476,1,145
1,--,CLT,AVL,91,19,445
1,--,CHS,AVL,226,4,220
1,--,RDU,AVL,213,17,875
1,--,CAE,AVL,131,3,75
1,--,ORF,AVL,368,1,5
1,--,JAX,AVL,344,2,80
1,--,ATL,AVL,164,8,570
1,--,MCO,AVL,488,1,105
1,--,TYS,AVL,86,4,40
1,--,ORD,AVL,536,1,615
1,--,MEM,AVL,421,1,25
1,--,FLL,AVL,660,1,85
1,--,ROC,AVL,591,1,265
1,--,GSO,AVL,153,2,80
1,--,TRI,AVL,72,1,5
1,--,BNA,AVL,237,3,155
1,--,BWI,AVL,414,1,15
1,--,GSP,AVL,41,2,20
1,--,CRW,AVL,210,1,5
1,--,PIT,AVL,371,1,25
1,--,JFK,AVP,113,1,5
1,--,MDT,AVP,96,5,75
1,--,HPN,AVP,107,1,5
1,--,DCA,AVP,185,1,5
1,--,EWR,AVP,93,6,90
1,--,LGA,AVP,104,3,55
1,--,PHL,AVP,104,8,170
1,--,PIT,AVP,243,1,65
1,--,ABE,AVP,50,2,50
1,--,ATL,AVP,714,1,645
1,--,BOS,AVP,253,1,15
1,--,BUF,AVP,190,1,5
1,--,SCE,AVP,116,1,35
1,--,GRR,AVP,514,1,5
1,--,BWI,AVP,157,1,15
1,--,BGM,AVP,61,1,5
1,--,DTW,AZO,113,15,385
1,--,GRR,AZO,45,5,35
1,--,ORD,AZO,122,8,80
1,--,CLE,AZO,199,1,25
1,--,FWA,AZO,89,1,35
1,--,SBN,AZO,54,1,35
1,--,DAY,AZO,175,1,255
1,--,CMH,AZO,208,1,35
1,--,CVG,AZO,225,1,25
1,--,LAN,AZO,62,1,5
1,--,BOS,BDL,91,94,1680
1,--,BTV,BDL,176,3,115
1,--,EWR,BDL,116,43,1095
1,--,LGA,BDL,101,71,1495
1,--,PWM,BDL,169,8,230
1,--,HVN,BDL,48,5,25
1,--,DCA,BDL,313,10,1270
1,--,PHL,BDL,196,20,560
1,--,JFK,BDL,106,16,260
1,--,ORD,BDL,783,1,185
1,--,PVD,BDL,66,17,395
1,--,IAD,BDL,326,3,165
1,--,MSY,BDL,1279,1,95
1,--,DFW,BDL,1471,1,285
1,--,SLC,BDL,2027,1,315
1,--,ROC,BDL,267,4,190
1,--,SYR,BDL,193,5,355
1,--,MHT,BDL,94,6,70
1,--,ALB,BDL,80,10,180
1,--,RDU,BDL,532,2,160
1,--,FLL,BDL,1173,1,205
1,--,ELM,BDL,217,1,95
1,--,PIT,BDL,406,2,240
1,--,SEA,BDL,2432,1,1005
1,--,TPA,BDL,1111,2,490
1,--,MSP,BDL,1050,1,445
1,--,BWI,BDL,283,7,695
1,--,DTW,BDL,549,1,15
1,--,CLE,BDL,476,1,35
1,--,CLT,BDL,644,1,155
1,--,BUF,BDL,317,2,50
1,--,SWF,BDL,79,3,25
1,--,HPN,BDL,80,4,20
1,--,CMH,BDL,550,1,45
1,--,MDT,BDL,245,1,165
1,--,SAV,BDL,823,1,205
1,--,ECP,BDL,1081,1,75
1,--,JAX,BDL,935,1,75
1,--,ATL,BDL,859,1,575
1,--,PDX,BDL,2470,1,2495
1,--,GCC,BFF,197,1,35
1,--,DEN,BFF,150,1,35
1,--,SAN,BFL,215,4,150
1,--,SFO,BFL,238,5,125
1,--,SBP,BFL,91,2,90
1,--,LAX,BFL,109,17,655
1,--,ONT,BFL,126,2,30
1,--,BUR,BFL,94,2,110
1,--,SNA,BFL,139,1,35
1,--,LAS,BFL,224,1,15
1,--,YUM,BFL,319,1,45
1,--,SMF,BFL,265,2,80
1,--,FAT,BFL,100,3,185
1,--,PSP,BFL,183,1,15
1,--,PHX,BFL,425,1,315
1,--,LGB,BFL,123,1,45
1,--,AVP,BGM,61,1,15
1,--,ELM,BGM,47,2,30
1,--,PHL,BGM,166,2,70
1,--,BTV,BGM,211,1,35
1,--,BOS,BGM,255,1,115
1,--,PWM,BGR,109,12,180
1,--,MSP,BGR,1194,1,195
1,--,BOS,BGR,201,6,400
1,--,MHT,BGR,184,2,30
1,--,MDT,BGR,515,1,125
1,--,BDL,BGR,277,1,25
1,--,MGM,BHM,90,14,190
1,--,TLH,BHM,260,5,245
1,--,GSO,BHM,425,1,55
1,--,GSP,BHM,275,2,110
1,--,JAN,BHM,212,13,955
1,--,TPA,BHM,459,3,865
1,--,MEM,BHM,211,17,795
1,--,MOB,BHM,216,7,265
1,--,ATL,BHM,134,94,2710
1,--,LGA,BHM,866,1,275
1,--,SDF,BHM,323,3,205
1,--,BNA,BHM,177,19,805
1,--,IAH,BHM,562,1,25
1,--,IAD,BHM,637,1,295
1,--,TYS,BHM,220,2,20
1,--,FLL,BHM,650,1,115
1,--,HSV,BHM,74,10,140
1,--,CHA,BHM,135,4,80
1,--,GTR,BHM,106,2,110
1,--,RDU,BHM,480,2,210
1,--,MSY,BHM,321,9,445
1,--,PNS,BHM,214,4,230
1,--,CMH,BHM,492,1,65
1,--,CLT,BHM,350,5,295
1,--,CVG,BHM,396,1,15
1,--,PHL,BHM,772,1,75
1,--,DCA,BHM,653,1,95
1,--,PBI,BHM,619,2,430
1,--,MSP,BHM,854,1,255
1,--,DHN,BHM,172,3,95
1,--,ORF,BHM,639,1,55
1,--,BTR,BHM,332,2,60
1,--,DFW,BHM,597,2,360
1,--,GPT,BHM,257,1,375
1,--,ORD,BHM,584,2,170
1,--,MDW,BHM,570,1,75
1,--,DEN,BHM,1083,1,335
1,--,PHX,BHM,1455,1,25
1,--,DSM,BHM,667,1,25
1,--,ECP,BHM,228,1,15
1,--,RIC,BHM,597,1,105
1,--,DAY,BHM,459,1,85
1,--,CSG,BHM,128,1,5
1,--,JAX,BHM,365,1,25
1,--,EGE,BHM,1194,1,75
1,--,BZN,BIL,126,24,490
1,--,MSO,BIL,276,4,200
1,--,TWF,BIL,374,2,130
1,--,BTM,BIL,191,3,65
1,--,DEN,BIL,455,2,340
1,--,SEA,BIL,664,2,240
1,--,FCA,BIL,320,3,175
1,--,DIK,BIL,283,1,95
1,--,HLN,BIL,174,4,380
1,--,GTF,BIL,177,13,945
1,--,BIS,BIL,379,1,35
1,--,FSD,BIL,601,1,45
1,--,JAC,BIL,186,1,5
1,--,LAX,BIL,970,1,155
1,--,RAP,BIL,295,1,35
1,--,GEG,BIL,445,1,235
1,--,GCC,BIL,178,1,25
1,--,SFO,BIL,909,1,155
1,--,FAR,BIS,187,9,355
1,--,RAP,BIS,219,2,50
1,--,DIK,BIS,98,1,35
1,--,ISN,BIS,167,2,90
1,--,MOT,BIS,106,3,55
1,--,LEX,BIS,1019,1,335
1,--,GFK,BIS,186,1,25
1,--,MSP,BIS,386,2,220
1,--,MSP,BJI,199,3,95
1,--,BZN,BJI,779,1,85
1,--,SEA,BLI,93,23,355
1,--,SAN,BLI,1142,1,645
1,--,SNA,BLI,1071,1,125
1,--,PHX,BLI,1191,1,315
1,--,PIA,BMI,43,3,35
1,--,CID,BMI,175,1,5
1,--,ORD,BMI,116,16,250
1,--,SPI,BMI,59,1,5
1,--,MCI,BMI,319,1,105
1,--,CMH,BMI,320,1,15
1,--,MDW,BMI,109,1,5
1,--,STL,BMI,142,4,70
1,--,MEM,BMI,379,1,15
1,--,IND,BMI,148,1,55
1,--,DTW,BMI,313,1,415
1,--,SBN,BMI,160,1,25
1,--,MSY,BNA,471,33,3835
1,--,DCA,BNA,562,5,485
1,--,LEX,BNA,175,8,350
1,--,ATL,BNA,214,81,2875
1,--,TYS,BNA,152,50,1180
1,--,SDF,BNA,151,40,1100
1,--,LAX,BNA,1797,4,1330
1,--,TPA,BNA,612,6,550
1,--,MEM,BNA,200,107,4685
1,--,IND,BNA,249,15,505
1,--,BHM,BNA,177,23,1025
1,--,CHA,BNA,112,24,520
1,--,PAH,BNA,133,2,20
1,--,SAT,BNA,822,1,195
1,--,JAX,BNA,483,3,785
1,--,ICT,BNA,605,1,335
1,--,RDU,BNA,442,18,1640
1,--,LGA,BNA,764,3,615
1,--,BDL,BNA,852,1,95
1,--,CLT,BNA,328,16,900
1,--,XNA,BNA,426,3,335
1,--,STL,BNA,272,14,1070
1,--,IAH,BNA,657,3,335
1,--,FLL,BNA,793,4,300
1,--,HOU,BNA,670,2,490
1,--,CMH,BNA,337,6,470
1,--,CVG,BNA,230,7,295
1,--,LIT,BNA,327,6,430
1,--,LAS,BNA,1587,3,875
1,--,ORD,BNA,409,5,425
1,--,BOS,BNA,942,3,535
1,--,DFW,BNA,631,10,1560
1,--,SFO,BNA,1969,1,385
1,--,HSV,BNA,103,10,230
1,--,MSP,BNA,695,5,475
1,--,PBI,BNA,757,3,405
1,--,DTW,BNA,456,7,575
1,--,OMA,BNA,612,2,180
1,--,TRI,BNA,240,5,525
1,--,ECP,BNA,401,2,320
1,--,JFK,BNA,765,1,125
1,--,AUS,BNA,756,6,970
1,--,GSP,BNA,265,4,120
1,--,MGM,BNA,264,3,225
1,--,CLE,BNA,448,3,255
1,--,MDT,BNA,608,1,125
1,--,MSN,BNA,504,1,45
1,--,CID,BNA,481,2,230
1,--,EVV,BNA,140,8,190
1,--,MCO,BNA,616,8,1030
1,--,PHX,BNA,1449,4,1900
1,--,DAB,BNA,580,1,45
1,--,ROA,BNA,381,1,105
1,--,SAV,BNA,417,2,290
1,--,EWR,BNA,748,4,540
1,--,OKC,BNA,616,3,355
1,--,PNS,BNA,391,2,130
1,--,SAN,BNA,1751,1,375
1,--,SLC,BNA,1404,1,405
1,--,DEN,BNA,1014,3,535
1,--,PHL,BNA,675,3,335
1,--,MIA,BNA,806,3,455
1,--,CHS,BNA,439,4,140
1,--,BTR,BNA,464,1,165
1,--,DAL,BNA,623,2,230
1,--,OAK,BNA,1959,1,345
1,--,AVL,BNA,237,5,205
1,--,AVP,BNA,692,1,205
1,--,CRW,BNA,320,7,345
1,--,MKE,BNA,475,1,45
1,--,IAD,BNA,542,2,130
1,--,DAY,BNA,293,1,65
1,--,RIC,BNA,527,2,960
1,--,HTS,BNA,275,1,45
1,--,AEX,BNA,473,1,205
1,--,RSW,BNA,722,1,295
1,--,SLC,BOI,290,34,3130
1,--,PDX,BOI,344,18,1560
1,--,SUN,BOI,97,31,805
1,--,PIH,BOI,189,2,50
1,--,LAS,BOI,519,6,800
1,--,MSP,BOI,1142,2,330
1,--,TUL,BOI,1190,1,195
1,--,GEG,BOI,287,8,550
1,--,LAX,BOI,674,3,825
1,--,SEA,BOI,399,7,335
1,--,DTW,BOI,1660,1,455
1,--,TWF,BOI,115,9,135
1,--,MFR,BOI,347,1,145
1,--,MCI,BOI,1152,1,155
1,--,RNO,BOI,335,3,265
1,--,PHX,BOI,735,3,425
1,--,ASE,BOI,571,1,75
1,--,SAT,BOI,1377,1,185
1,--,SMF,BOI,437,2,110
1,--,DFW,BOI,1272,1,435
1,--,SJC,BOI,523,2,630
1,--,JAC,BOI,275,1,115
1,--,DEN,BOI,649,4,1480
1,--,IDA,BOI,209,2,70
1,--,SFO,BOI,522,3,455
1,--,BIL,BOI,409,2,160
1,--,LIH,BOI,2873,1,255
1,--,PSC,BOI,234,1,35
1,--,BZN,BOI,293,1,25
1,--,PHL,BOS,280,70,3300
1,--,CLT,BOS,728,10,1770
1,--,LGA,BOS,184,182,6100
1,--,DCA,BOS,399,65,5345
1,--,EWR,BOS,200,184,8400
1,--,PWM,BOS,95,44,630
1,--,MHT,BOS,45,35,375
1,--,BDL,BOS,91,102,2070
1,--,SEA,BOS,2496,6,4290
1,--,PHF,BOS,464,1,75
1,--,DEN,BOS,1754,5,1965
1,--,MSY,BOS,1368,4,1020
1,--,BGR,BOS,201,3,105
1,--,JFK,BOS,187,109,3975
1,--,ATL,BOS,946,15,4215
1,--,ALB,BOS,145,21,565
1,--,ITH,BOS,279,4,200
1,--,BUF,BOS,395,7,395
1,--,CLE,BOS,563,9,1415
1,--,ISP,BOS,153,1,95
1,--,BTV,BOS,181,25,895
1,--,ABE,BOS,259,2,80
1,--,IAH,BOS,1597,4,2170
1,--,SYR,BOS,265,6,360
1,--,ROC,BOS,343,10,600
1,--,BWI,BOS,369,15,1115
1,--,PVD,BOS,49,46,830
1,--,HPN,BOS,166,7,285
1,--,RDU,BOS,612,13,1685
1,--,IAD,BOS,413,82,8200
1,--,MCO,BOS,1121,13,5495
1,--,PIT,BOS,496,16,1720
1,--,SFO,BOS,2704,8,6750
1,--,DTW,BOS,632,6,510
1,--,AEX,BOS,1409,1,225
1,--,DFW,BOS,1562,5,1365
1,--,BNA,BOS,942,7,1105
1,--,MSP,BOS,1124,3,725
1,--,TPA,BOS,1185,9,2765
1,--,MIA,BOS,1258,3,725
1,--,AUS,BOS,1698,8,4580
1,--,LAX,BOS,2611,6,3460
1,--,SJC,BOS,2689,1,835
1,--,MDT,BOS,335,4,520
1,--,PHX,BOS,2300,2,660
1,--,LAS,BOS,2381,4,2860
1,--,SAN,BOS,2588,3,2185
1,--,HVN,BOS,123,3,55
1,--,LAN,BOS,693,1,525
1,--,DAL,BOS,1554,2,1090
1,--,IND,BOS,818,3,335
1,--,RSW,BOS,1249,1,585
1,--,ORD,BOS,867,10,1920
1,--,FLL,BOS,1237,4,430
1,--,MDW,BOS,861,1,65
1,--,STL,BOS,1047,5,555
1,--,ORF,BOS,468,1,65
1,--,BHM,BOS,1050,1,125
1,--,BTR,BOS,1381,1,675
1,--,AZO,BOS,744,1,205
1,--,SLC,BOS,2105,1,695
1,--,JAX,BOS,1010,2,440
1,--,MSN,BOS,932,1,125
1,--,SWF,BOS,170,1,35
1,--,PBI,BOS,1197,2,470
1,--,AVL,BOS,783,1,265
1,--,SNA,BOS,2592,2,1550
1,--,AVP,BOS,253,1,25
1,--,CHO,BOS,489,1,85
1,--,RIC,BOS,474,2,70
